vehicle_id,vehicle_color,vehicle_type,start_time,start_lane,end_time,end_lane,start_edge,end_edge
34,silver,car,0:13,N_2,0:15,SS_2,N,SS
35,silver,car,0:14,N_2,0:16,SS_2,N,SS
36,silver,truck,0:16,N_2,0:17,SS_2,N,SS
37,white,car,0:18,N_2,0:19,SS_2,N,SS
38,black,van,0:07,N_1,0:08,WW_1,N,WW
39,red,truck,0:13,N_1,0:14,WW_1,N,WW
40,maroon,truck,0:15,N_1,0:16,WW_1,N,WW
41,grey,car,0:07,N_6,0:09,EE_4,N,EE
42,white,car,0:08,N_6,0:10,EE_4,N,EE
43,white,truck,0:09,N_6,0:11,EE_4,N,EE
44,grey,car,0:10,N_6,0:12,EE_4,N,EE
45,white,car,0:11,N_6,0:13,EE_4,N,EE
46,red,car,0:14,N_6,0:16,EE_4,N,EE
47,white,car,0:15,N_6,0:17,EE_4,N,EE
48,white,car,0:17,N_6,0:19,EE_4,N,EE
49,blue,van,0:18,N_6,0:20,EE_4,N,EE
50,white,truck,0:19,N_6,0:20,EE_4,N,EE
51,white,car,0:08,N_5,0:10,EE_2,N,EE
52,black,van,0:09,N_5,0:12,EE_2,N,EE
53,white,van,0:10,N_5,0:12,EE_2,N,EE
54,white,truck,0:11,N_5,0:13,EE_2,N,EE
55,white,car,0:12,N_5,0:14,EE_2,N,EE
56,black,truck,0:13,N_5,0:15,EE_3,N,EE
57,yellow,truck,0:14,N_5,0:16,EE_3,N,EE
58,white,car,0:16,N_5,0:18,EE_2,N,EE
59,black,car,0:17,N_5,0:19,EE_3,N,EE
60,white,car,0:01,S_4,0:02,NN_4,S,NN
